Name,Essence,Range,Rarity,Cost,Description,Usage-Effect,WA Id,NameName
Arctic Creeper,Water,Arctic and Mountains,Common,27 sp,"A low, gray-stemmed creeping plant that grows around rock formations in high, cold climates. ","The leaves can be dried and ground, and added as an ingredient to many common poisons to change the damage type to cold or necrotic.",c87ee5f9-675b-4162-b7ad-85cbd5a905a4,arctic-creeper
Bloodgrass,Life,Grassland and Forests,Common,9 sp,A wide-bladed grass with a red-tinted central vein running the length of the blade that grows in small bunches.,Bloodgrass can be ground into a thick brown paste that can be added and mixed into most potions and drinks to become adequate food equivalent to a day’s rations for the party.,c0827fb1-5030-4168-b9d7-cc6d5b9bf1bd,bloodgrass
Bloodstaunch,Earth,Desert and Mountains,Common,13 sp,"A small leafy herb that is often found in gullies and ravines in arid regions and foothills. The herb has bright green leaves, and smells faintly like honey crossed with fresh rainfall ",From you leaves a resin can be extracted that can be applied to open wounds to quickly staunch bleeding. Applying the herb to a bleeding wound grants the recipient recovery of 1 hit point and confers immunity to bleed damage for 1 hour.,65c1df0a-a531-4017-85a8-4db282f90a0d,bloodstaunch
Blueleaf,Air,Arctic and Forests,Common,28 sp,"Known for the gleaming blue color of it's leaves, the tree often grows in thick copses throughout the north. The thin trunks of the trees are remarkably durable, despite high winds and heavy snowfall and one use of the tree is the wood, which is often used by the Volodni craftsmen to create weapons and armor. ","Magically treating the wood, called “bluewood”, causes it to become as hard as steel though only weighing half as much (crafting with bluewood requires special training from a Volodni craftsman). <br><br>High-priced entertainers often bum small pieces of the wood, as it creates leaping blue flames. <br><br>The leaves and sap are often ground in the creation of a vivid blue dye that is used to dye clothes in the north, and sometimes in the creation of tattoo ink. ",1d7d00b4-82fd-47f9-b1b4-a6d5f67ca034,blueleaf
Cat's Tail,Water,Coastal,Common,25 sp,"Cat's Tail is a small plant with long, thin, spear-shaped leaves rising from its base, and a single long and thin flower atop the stalk. ","When ground into a salve, it will remedy all pain in a person's feet over the course of a short rest.",c6730182-4de2-45e7-8303-1d0b4db2c1b8,cat's-tail
Creeping Mangrove,Water,Swamps,Common,9 sp,"Growing along the edge of the swamps, it's gnarled roots reach down into the brackish water, and spindly branches protruding vertically towards the sky. The branches are covered with large amounts of small oval-shaped leaves. During warmer seasons the trees bud small hard fruits that drop off to float along the slight currents of a swamp. <br><br>This species of mangrove has flourished in areas where others have perished, due to their ability to slowly pull up roots and migrate to areas of higher moisture or more favorable alkalinity. The mangroves have been known to uproot small trees and brush, or simply walk over them, trampling them down. ","Wood from these trees burns readily, even when sopping wet.",17643f01-5c1c-4476-9bc5-1a577c661309,creeping-mangrove
Devilweed (Wyssin),Fire,Grassland,Common,23 sp,"A dull-coloreed grass, with sharp awns, ",Can be rolled and smoked like tobacco. Doing so provides +2 to Strength-based ability checks and -1 to all other ability checks for 1d6 hours,d02cabbf-be2b-4fb2-8829-5d622528f9e2,devilweed-(wyssin)
Dragonwort,Life,Coastal,Common,29 sp,"This plant has a gnarled, erect and cyclindrical stem. It has wavy leavees, dark green on top and blusih underneath. It has pink flowers that cluseter in a spike at the top of the stem. ","The root of this herb should be boiled over a low heat for three days, and the infusion drunk by people with the plauge, in order to cure some symptoms or the plague as a whole (60% chnace to cure completely). Because of this, the value of this herb increases greatly in times of plague.",153a4aba-3722-4bc8-b5e6-902a2bc5527d,dragonwort
Fairy Bells,Air,Grassland,Common,24 sp,"A leafy green plant that springs up in clusters, the majority of the plant is rather uninteresting, save for the violet flowers that seem to bloom almost year-round. When the wind blows through the flowers, their seeds rattle around inside and create a curious ringing sound, much like tiny bells. ","Many rural children enjoy picking them and weaving the flowers into their garments, which then jingle as they run and twirl.<br><br>There is also a legend that the sound of the flowers ward off evil spirits, a legend that is partially true. Any fiend must make a DC 15 Wisdom save vs. fear in order to approach within 10 feet of the fairy bells or anyone wearing them.",33588abc-d33d-445b-ae2b-8d329a254ef8,fairy-bells
Fleshwort,Shadow,Grasslands and Underground,Common,30 sp,"A short plant with gray stalks and olive-colored hairy leaves, the fleshwort thrives in areas where corpses lay. Often the plant will be seen on the site of battlefields, or where the dead were quickly buried. ",Some healers use the fibrous body of the fleshwort to speed up the healing process during a short rest (a character may add 1d6 to the total amount of hit points recovered).,f4808f0b-7e51-4438-adaf-3cdf13ee9dae,fleshwort
